"prompt","answer"
"Given $z = -1 - i$, what is $|z| = ( )$?
A. 0
B. 1
C. √2
D. 2","C"
"Given proposition $p: \forall x \in R$, $|x+1|>1$; proposition $q: \exists x>0$, $x^3=x$. Then ( )?
A. Both $p$ and $q$ are true propositions
B. Both $\neg p$ and $q$ are true propositions
C. Both $p$ and $\neg q$ are true propositions
D. Both $\neg p$ and $\neg q$ are true propositions","B"
"Given vectors $a$ and $b$ satisfying $|a|=1$, $|a+2b|=2$, and $(b-2a)⊥b$. Then $|b|= ( )$ ?
A. $\frac{1}{2}$
B. $\frac{\sqrt{2}}{2}$
C. $\frac{\sqrt{3}}{2}$
D. $1$","B"
"A certain agricultural research department planted a new type of rice in 100 rice fields of equal area, obtained the yield per mu (unit: kg) of each field, and organized part of the data as shown in the following table:
Yield per mu | [900,950) | [950,1000) | [1000,1050) | [1100,1150) | [1150,1200)
Frequency | 6 | 12 | 18 | 24 | 10
Based on the data in the table, which of the following conclusions is correct ( )?
A. The median yield per mu of the 100 rice fields is less than 1050kg
B. The proportion of rice fields with yield per mu below 1100kg exceeds 40% among the 100 fields
C. The range of yield per mu for the 100 rice fields is between 200kg and 300kg
D. The average yield per mu of the 100 rice fields is between 900kg and 1000kg","C"
"Given the curve $C : x^2 + y^2 = 16 (y > 0)$, from any point $P$ on $C$, a perpendicular line segment $PP'$ is drawn to the $x$-axis, where $P'$ is the foot of the perpendicular. The equation of the trajectory of the midpoint $M$ of line segment $PP'$ is ( )?
A. $\frac{x^2}{16} + \frac{y^2}{4} = 1 (y > 0)$
B. $\frac{x^2}{16} + \frac{y^2}{8} = 1 (y > 0)$
C. $\frac{y^2}{16} + \frac{x^2}{4} = 1 (y > 0)$
D. $\frac{y^2}{16} + \frac{x^2}{8} = 1 (y > 0)$","A"
"Let the function $f(x) = a(x+1)^2 - 1$, $g(x) = \cos x + 2ax$ (where $a$ is a constant). When $x \in (-1,1)$, the curves $y = f(x)$ and $y = g(x)$ have exactly one intersection point. Then $a = ( )$?
A. -1
B. $\frac{1}{2}$
C. 1
D. 2","D."
"Given a regular triangular frustum $ABC-A_1B_1C_1$ with a volume of $\frac{32}{3}$, $AB = 6$, and $A_1B_1 = 2$, what is the tangent value of the angle between $A_1A$ and the plane $ABC$?
A. $\frac{1}{2}$
B. 1
C. 2
D. 3","B"
"Let the function $f(x) = (x + a) \ln(x + b)$. If $f(x) \geq 0$, then the minimum value of $a^2 + b^2$ is ( )?
A. $\frac{1}{8}$
B. $\frac{1}{4}$
C. $\frac{1}{2}$
D. 1","C"
"For the functions $f(x) = sin 2x$ and $g(x) = sin(2x - \frac{\pi}{4})$, which of the following are correct? ( )
A. $f(x)$ and $g(x)$ have the same zeros
B. $f(x)$ and $g(x)$ have the same maximum value
C. $f(x)$ and $g(x)$ have the same minimum positive period
D. The graphs of $f(x)$ and $g(x)$ have the same axis of symmetry","BC"
"The parabola $C : y^2 = 4x$ has a directrix $l$. $P$ is a moving point on $C$. A tangent line to circle $\odot A : x^2 + (y-4)^2 = 1$ is drawn through $P$, with $Q$ as the point of tangency. A perpendicular line to $l$ is drawn through point $P$, with $B$ as the foot of the perpendicular. Then which of the following is true?
A. $l$ is tangent to $\odot A$
B. When $P$, $A$, and $B$ are collinear, $|PQ| = \sqrt{15}$
C. When $|PB| = 2$, $PA \perp AB$
D. There are exactly 2 points $A$ that satisfy $|PA| = |PB|$","ABD"
